,Eldorado,HPServ,HPR&D,Dell,DBServer,Datum,TOTVS,ThoughtWorks,Netwall,Toth,CADS,Engeltec,TIVEA,Sequor SW Ind,Rockhead,SOHA,Pandorga,SmartMoney,SmartLife,WGS,SouthSystem,Sevenia,Beyond Domotics
Necessidades_3-2 Área Jurídica,,2,5,2,5,5,,2,3,,,3,3,4,3,6,2,2,5,3,4,4,3
Necessidades_3-3 Parcerias,2,2,5,2,2,5,,2,4,,2,4,4,5,4,5,2,4,6,4,5,4,6
Necessidades_3-4 Propriedade intelectual,2,2,6,2,2,4,,2,4,,2,5,3,5,5,6,3,2,4,4,3,4,4
Necessidades_3-5 Call center,,2,5,2,,3,2,,3,,,4,3,,,4,3,4,4,,3,,2
Necessidades_3-6 RH / Recrutamento e seleção,2,2,5,2,6,5,4,2,5,,,5,3,3,,3,2,2,4,3,4,2,5
Necessidades_3-7 Planejamento estratégico,,2,5,2,4,4,,2,4,,2,3,3,4,,5,2,4,4,3,4,6,5
Necessidades_3-8 Gestão de projetos,,2,5,2,,3,4,,4,,3,3,3,4,,3,,4,4,,3,5,4
Necessidades_3-9 Gerenciamento de Portfólio de Projetos,,2,5,2,3,3,4,2,4,,2,3,3,4,,3,,4,4,3,3,5,5
Necessidades_3-10 Comunicação (Assessoria de Imprensa),,2,5,2,4,3,,2,4,,,4,4,5,4,5,2,5,5,3,4,4,6
Necessidades_3-11 Governança,,2,5,2,4,4,,2,4,,,2,3,4,,3,2,2,4,,3,3,
Necessidades_3-12 Gestão de operação,,2,5,2,2,3,,2,4,,,3,3,4,,3,,2,3,,4,3,
Necessidades_3-13 Inovação,,2,5,2,5,5,2,4,6,,3,3,3,4,,3,2,4,5,3,4,4,6
Necessidades_3-14 Negociação,,2,5,2,3,4,2,4,4,,,3,3,4,,3,2,4,5,3,4,4,4
Necessidades_3-15 Liderança,,2,5,2,6,5,4,4,5,,,3,3,4,,3,2,2,5,3,4,4,6
Necessidades_3-16 Métodos Leans / Ágeis em áreas não relacionada com software,,2,5,2,2,3,5,4,4,,,3,3,4,,3,3,2,4,,4,3,5
Necessidades_3-17 Gestão de conhecimento,2,5,5,2,4,3,3,3,5,,2,3,3,4,,3,2,2,4,3,4,3,3
Necessidades_3-18 Modelagem de Processos do Negócio (BPM),2,2,5,2,,3,3,2,4,,2,3,3,4,,,2,2,4,3,4,3,
Necessidades_4-1 Consultoria,2,5,5,,4,5,4,2,4,,,4,3,4,,2,,3,5,3,,2,2
Necessidades_4-2 Relacionamento com investidores,,3,5,,5,5,,2,5,,2,4,3,5,,5,,5,6,,4,2,5
Necessidades_4-3 Relações publicas,,3,5,,2,5,,2,4,,,4,4,5,,2,,5,5,,4,2,5
Necessidades_4-4 Escalabilidade (Serviços),,2,5,,2,3,4,2,5,,2,3,5,4,,2,,5,6,,4,2,
Necessidades_4-5 Documentação,2,2,5,,,3,3,,5,,,3,3,5,,2,,4,3,2,4,2,2
Necessidades_4-6 Relacionamento com agencias de fomento,,2,5,,5,5,,2,5,,,5,3,5,5,4,3,3,4,5,,2,3
Necessidades_4-7 Video / Animação 2D/3D,2,3,5,,,3,,,4,,2,3,3,4,,2,,,,2,,,5
Necessidades_4-8 Internet das coisas,2,2,5,,2,5,3,5,3,,,3,2,4,,2,,,2,,4,3,6
Necessidades_4-9 Tecnologia de Nuvem,,2,5,,2,5,3,5,5,,,3,3,4,,2,,,3,,4,3,6
Necessidades_4-10 Treinamento / Aprendizagem,,2,5,,4,3,4,5,5,,,3,3,4,,2,,2,4,,4,3,3
Necessidades_4-11 Coaching,2,,5,,5,5,3,5,4,,,4,3,5,,2,,2,4,,4,3,4
Necessidades_4-12 Games,2,,5,,,3,,3,4,,2,,,3,,2,,,2,,,,
Necessidades_4-13 Outsourcing (outro que HW ou SW),2,2,5,,,2,,,3,,,3,3,4,,2,,,,,4,3,
Necessidades_4-14 Networking com outras empresas do segmento,2,2,5,,4,5,2,2,4,,,4,5,5,,2,,5,5,3,5,5,2
Necessidades_4-15 Redes Sociais,,2,5,,2,5,2,2,5,,2,4,4,4,2,2,,3,6,,4,3,5
Necessidades_4-16 Produção de Imagem (2D/3D/Fotografia),2,2,5,,,3,,2,3,,2,3,3,3,,2,,2,,3,,,5
Necessidades_4-17 Relacionamento com TECNOPUC,2,6,5,,4,3,3,4,5,,2,3,5,5,2,3,,4,5,5,6,5,3
Necessidades_4-18 Relacionamento com os departamentos da PUC,2,6,5,,5,4,3,4,5,,2,3,4,5,2,3,,4,4,5,6,5,3
Necessidades_5-1 Conhecimento de iniciativas de GREEN IT (TI Verde),2,2,5,2,2,4,2,4,2,,2,2,3,,,2,,2,,,4,2,
"Necessidades_5-2 Identificação de riscos estratégicos, financeiros, regulatórios, reputacionais ou operacionais relacionados a impactos socioambientais",2,2,5,2,,3,2,4,2,,,2,2,,,2,,4,,,4,3,5
Necessidades_5-3 Proposta de valor incluindo princípios de sustentabilidade & desenvolvimento de iniciativas sustentáveis,2,2,5,2,2,3,2,4,2,,,2,3,,,2,,3,,,4,2,4
Necessidades_5-4 Estrategias de sustentabilidade objetivando aumento da eficiência do uso de recursos naturais e reducao de impactos socioambientais,2,2,5,2,,3,2,4,2,,2,2,3,,,2,,2,,,4,6,4
Necessidades_5-5 Monitoramento de iniciativas sustentáveis,2,2,5,2,,3,2,4,2,,2,2,3,,,2,,2,,,4,6,2
